,Country,Mountain[2],Height (m)[3]
0,Tanzania,Kibo (Uhuru Pk),5895
1,Kenya,Mount Kenya (Batian),5199
2,Kenya,Mount Kenya (Nelion),5188
3,Tanzania,Mawenzi (Hans Meyer Pk),5148
4,DR CongoUganda,Ngaliema / Mt Stanley(Margherita Pk),5109
5,Kenya,Mount Kenya (Lenana),4985
6,Uganda,Ngaliema / Mt Stanley(Savoia Pk),4977
7,Uganda,Duwoni / Mt Speke(Vittorio Emanuele Pk),4890
8,Uganda,Kiyanja / Mt Baker (Edward Pk),4844
9,DR Congo,Mount Emin [sv] (Umberto Pk),4798
10,Uganda,Mount Gessi [sv] (Iolanda Pk),4715
11,Uganda,Mount Luigi di Savoia [de] (Sella Pk),4627
12,Tanzania,Mount Meru (Socialist Pk),4566
13,Ethiopia,Ras Dashen,4550
14,DR CongoRwanda,Karisimbi,4507
15,Ethiopia,Ancua / Ankwa / Weynobar,4462
16,Ethiopia,Kidis Yared,4453
17,DR Congo,Mikeno,4437
18,Ethiopia,Bwahit,4437
19,Uganda,Portal Peaks (Kihuma),4391
20,Ethiopia,Tullu Demtu[9],4377
21,Uganda,Mount Elgon (Wagagai),4321
22,KenyaUganda,Mount Elgon (Sudek),4302
23,Ethiopia,Amba Farit,4270
24,Ethiopia,Abune Yosef / Guliba Amba,4260
25,Ethiopia,Ioll / Yoll,4220
26,Ethiopia,Bada,4195
27,Ethiopia,Kaka / Kecha / Chiqe,4193
28,Morocco,Jbel Toubkal,4167
29,RwandaUganda,Muhavura,4127
30,Ethiopia,Hey / Hay,4125
31,Ethiopia,Guna,4120
32,Ethiopia,Choqa / Choke / Birhan,4100
33,Morocco,Ouanoukrim,4088
34,Ethiopia,Chilalo,4071
35,Ethiopia,Inatye,4070
36,Morocco,Ighil Mgoun,4068
37,Cameroon,Mount Cameroon,4040
38,Ethiopia,Weshema / Wasema?,4030
39,Tanzania,Shira [de],4005
40,Kenya,Oldoinyo Lesatima,4001
41,Morocco,Jebel n'Tarourt / Tifnout / Iferouane[10],3996
42,Ethiopia,Muggia,3950
43,Ethiopia,Dubbai,3941
44,Morocco,Taska n’Zat[11],3912
45,Morocco,Aksouâl[12],3903
46,Kenya,Mount Kinangop,3902
47,Ethiopia,Cimbia,3900
48,Morocco,Anrhemer / Ingehmar,3892
49,Ethiopia,Ieciuol ?,3840
50,Ethiopia,Kawa / Caua / Lajo,3830
51,Ethiopia,Pt 3820,3820
52,Morocco,Jbel Tignousti,3819
53,Ethiopia,Filfo / Encuolo,3805
54,Ethiopia,Kosso Amba,3805
55,Morocco,Jbel Ghat,3781
56,Ethiopia,Baylamtu / Gavsigivla,3777
57,Morocco,Ouaougoulzat [fr],3763
58,Ethiopia,Somkaru,3760
59,Ethiopia,Abieri,3750
60,Morocco,Arin Ayachi,3747
61,Spain (Canary Islands),Teide,3718
62,DR CongoRwanda,Visoke / Bisoke,3711
63,Ethiopia,Sarenga,3700
64,Ethiopia,Woti / Uoti,3700
65,Ethiopia,Pt 3700 (Kulsa?),3700
66,Tanzania,Mount Loolmalassin,3682
67,Ethiopia,Biala?,3680
68,Morocco,Azurki / Azourki,3677
69,Ethiopia,Pt 3645,3645
70,RwandaDR CongoUganda,Sabyinyo,3634
71,Ethiopia,Mount Gurage / Guraghe,3620
72,Morocco,Angour,3616
73,Morocco,Jbel Igdat,3615
74,Morocco,Jbel n'Anghomar,3609
75,Ethiopia,Yegura / Amba Moka,3605
76,Ethiopia,Pt 3600 (Kitir?),3600
77,Ethiopia,Pt 3600,3600
78,Ethiopia,Bar Meda high point,3580
79,Morocco,Jbel Erdouz,3579
80,Ethiopia,Mount Gugu,3570
81,Ethiopia,Gesh Megal (?),3570
82,Ethiopia,Gughe,3568
83,Ethiopia,Megezez,3565
84,Ethiopia,Pt 3555,3555
85,Morocco,Jbel Tinergwet,3551
86,Ethiopia,Amba Alagi[13],3550
87,Kenya,Chemnirot (Kamelogon Pk)[14],3530
88,Ethiopia,Gara Guda /Kara Gada,3530
89,Ethiopia,Amonewas[15],3530
90,Ethiopia,Amedamit[16],3530
91,Morocco,Igoudamene,3519
92,Ethiopia,Abuye Meda[17],3505
93,Lesotho,Thabana Ntlenyana,3482
94,DR Congo,Mont Mohi [fr],3480
95,UgandaRwanda,Gahinga,3474
96,DR Congo,Nyiragongo,3470
97,Tanzania,Mount Hanang,3420
